Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Procedure Type,Procedure Name,Application Type Code,Application Type,Application Data Type,Application Data,Application Average Persons Per Case,Number of Applications
2004.0,TUR,HRV,Türkiye,Croatia,U,UNHCR,V,Various,P,Persons,0.0,5.0
2004.0,TUR,HUN,Türkiye,Hungary,G,Government,V,Various,P,Persons,0.0,5.0
2004.0,TUR,HUN,Türkiye,Hungary,G,Government,V,Various,P,Persons,0.0,125.0
2004.0,TUR,IRL,Türkiye,Ireland,G,Government,V,Various,P,Persons,0.0,6.0
2004.0,TUR,IRL,Türkiye,Ireland,G,Government,V,Various,P,Persons,0.0,21.0
2004.0,TUR,ISR,Türkiye,Israel,G,Government,V,Various,P,Persons,0.0,32.0
2004.0,TUR,ITA,Türkiye,Italy,G,Government,V,Various,P,Persons,0.0,323.0
2004.0,TUR,JPN,Türkiye,Japan,G,Government,V,Various,P,Persons,0.0,78.0
2004.0,TUR,JPN,Türkiye,Japan,G,Government,V,Various,P,Persons,0.0,131.0
2004.0,TUR,JPN,Türkiye,Japan,G,Government,V,Various,P,Persons,0.0,5.0
2004.0,TUR,LBN,Türkiye,Lebanon,U,UNHCR,V,Various,P,Persons,0.0,12.0
2004.0,TUR,LUX,Türkiye,Luxembourg,G,Government,V,Various,P,Persons,0.0,5.0
2004.0,TUR,MDA,Türkiye,Republic of Moldova,G,Government,V,Various,P,Persons,0.0,5.0
2004.0,TUR,MLT,Türkiye,Malta,G,Government,V,Various,P,Persons,0.0,33.0
2004.0,TUR,NLD,Türkiye,Netherlands (Kingdom of the),G,Government,V,Various,P,Persons,0.0,338.0
2004.0,TUR,NOR,Türkiye,Norway,G,Government,V,Various,P,Persons,0.0,149.0
2004.0,TUR,POL,Türkiye,Poland,G,Government,V,Various,P,Persons,0.0,8.0
2004.0,TUR,POL,Türkiye,Poland,G,Government,V,Various,P,Persons,0.0,29.0
2004.0,TUR,PRT,Türkiye,Portugal,G,Government,V,Various,P,Persons,0.0,5.0
2004.0,TUR,ROU,Türkiye,Romania,G,Government,V,Various,P,Persons,0.0,48.0
2004.0,TUR,ESP,Türkiye,Spain,G,Government,V,Various,P,Persons,0.0,23.0
2004.0,TUR,SRB,Türkiye,Serbia,U,UNHCR,V,Various,P,Persons,0.0,15.0
2004.0,TUR,SVK,Türkiye,Slovakia,G,Government,V,Various,P,Persons,0.0,139.0
2004.0,TUR,SVN,Türkiye,Slovenia,G,Government,V,Various,P,Persons,0.0,188.0
2004.0,TUR,SWE,Türkiye,Sweden,G,Government,V,Various,P,Persons,0.0,445.0
2004.0,TUR,CHE,Türkiye,Switzerland,G,Government,V,Various,P,Persons,0.0,1154.0
2004.0,TUR,SYR,Türkiye,Syrian Arab Republic,U,UNHCR,V,Various,C,Cases,0.0,5.0
2004.0,TUR,UKR,Türkiye,Ukraine,U,UNHCR,V,Various,P,Persons,0.0,5.0
2004.0,TUR,USA,Türkiye,United States of America,G,Government,N,New,P,Persons,0.0,42.0
2004.0,TUR,USA,Türkiye,United States of America,G,Government,N,New,C,Cases,0.0,35.0
2005.0,TUR,ARM,Türkiye,Armenia,G,Government,V,Various,P,Persons,0.0,5.0
2005.0,TUR,AUS,Türkiye,Australia,G,Government,V,Various,C,Cases,0.0,43.0
2005.0,TUR,AUS,Türkiye,Australia,G,Government,V,Various,P,Persons,0.0,33.0
2005.0,TUR,AUT,Türkiye,Austria,G,Government,V,Various,P,Persons,0.0,1064.0
2005.0,TUR,BEL,Türkiye,Belgium,G,Government,V,Various,P,Persons,0.0,195.0
2005.0,TUR,BEL,Türkiye,Belgium,G,Government,V,Various,P,Persons,0.0,453.0
2005.0,TUR,BGR,Türkiye,Bulgaria,G,Government,V,Various,P,Persons,0.0,16.0
2005.0,TUR,CAN,Türkiye,Canada,G,Government,V,Various,P,Persons,0.0,291.0
2005.0,TUR,CYP,Türkiye,Cyprus,G,Government,V,Various,P,Persons,0.0,57.0
2005.0,TUR,CYP,Türkiye,Cyprus,G,Government,V,Various,P,Persons,0.0,204.0
2005.0,TUR,CZE,Türkiye,Czechia,G,Government,V,Various,P,Persons,0.0,33.0
2005.0,TUR,DNK,Türkiye,Denmark,G,Government,V,Various,P,Persons,0.0,47.0
2005.0,TUR,FIN,Türkiye,Finland,G,Government,V,Various,P,Persons,0.0,97.0
2005.0,TUR,FRA,Türkiye,France,G,Government,V,Various,P,Persons,0.0,3639.0
2005.0,TUR,FRA,Türkiye,France,G,Government,V,Various,P,Persons,0.0,3867.0
2005.0,TUR,FRA,Türkiye,France,G,Government,V,Various,P,Persons,0.0,1744.0
2005.0,TUR,GBR,Türkiye,United Kingdom of Great Britain and Northern Ireland,G,Government,V,Various,P,Persons,0.0,951.0
2005.0,TUR,DEU,Türkiye,Germany,G,Government,V,Various,P,Persons,0.0,2958.0
2005.0,TUR,DEU,Türkiye,Germany,G,Government,V,Various,P,Persons,0.0,2168.0
2005.0,TUR,GRC,Türkiye,Greece,G,Government,V,Various,P,Persons,0.0,126.0
2005.0,TUR,HRV,Türkiye,Croatia,G,Government,V,Various,P,Persons,0.0,5.0
2005.0,TUR,HUN,Türkiye,Hungary,G,Government,V,Various,P,Persons,0.0,14.0
2005.0,TUR,HUN,Türkiye,Hungary,G,Government,V,Various,P,Persons,0.0,65.0
2005.0,TUR,ISR,Türkiye,Israel,G,Government,V,Various,C,Cases,0.0,66.0
2005.0,TUR,ITA,Türkiye,Italy,G,Government,V,Various,P,Persons,0.0,168.0
2005.0,TUR,JPN,Türkiye,Japan,G,Government,V,Various,P,Persons,0.0,23.0
2005.0,TUR,JPN,Türkiye,Japan,G,Government,V,Various,P,Persons,0.0,40.0
2005.0,TUR,JPN,Türkiye,Japan,G,Government,V,Various,P,Persons,0.0,5.0
2005.0,TUR,MKD,Türkiye,North Macedonia,G,Government,V,Various,P,Persons,0.0,5.0
2005.0,TUR,MDA,Türkiye,Republic of Moldova,G,Government,V,Various,P,Persons,0.0,10.0
2005.0,TUR,MEX,Türkiye,Mexico,G,Government,V,Various,P,Persons,0.0,7.0
2005.0,TUR,MLT,Türkiye,Malta,G,Government,V,Various,P,Persons,0.0,11.0
2005.0,TUR,NLD,Türkiye,Netherlands (Kingdom of the),G,Government,V,Various,P,Persons,0.0,289.0
2005.0,TUR,NOR,Türkiye,Norway,G,Government,V,Various,P,Persons,0.0,111.0
2005.0,TUR,POL,Türkiye,Poland,G,Government,V,Various,P,Persons,0.0,9.0
2005.0,TUR,POL,Türkiye,Poland,G,Government,V,Various,P,Persons,0.0,11.0
2005.0,TUR,ROU,Türkiye,Romania,G,Government,V,Various,P,Persons,0.0,42.0
2005.0,TUR,ESP,Türkiye,Spain,G,Government,V,Various,P,Persons,0.0,21.0
2005.0,TUR,SVK,Türkiye,Slovakia,G,Government,V,Various,P,Persons,0.0,39.0
2005.0,TUR,SVN,Türkiye,Slovenia,G,Government,V,Various,P,Persons,0.0,231.0
2005.0,TUR,SWE,Türkiye,Sweden,G,Government,V,Various,P,Persons,0.0,423.0
2005.0,TUR,CHE,Türkiye,Switzerland,G,Government,V,Various,P,Persons,0.0,723.0
2005.0,TUR,TUN,Türkiye,Tunisia,U,UNHCR,V,Various,P,Persons,0.0,5.0
2005.0,TUR,UKR,Türkiye,Ukraine,G,Government,V,Various,P,Persons,0.0,5.0
2005.0,TUR,USA,Türkiye,United States of America,G,Government,N,New,P,Persons,0.0,73.0
2005.0,TUR,USA,Türkiye,United States of America,G,Government,N,New,C,Cases,0.0,24.0
